week,agent_type,price,brand_trust,profit,sales_volume,weekly_ad_spend
1,llm_only,150.0,0.6874039276603388,36300.0,368,500.0
2,llm_only,150.0,0.6752549627251834,40250.0,408,550.0
3,llm_only,150.0,0.6635303916218296,41100.0,417,600.0
4,llm_only,150.0,0.6655194814751588,36450.0,371,650.0
5,llm_only,50.0,0.687329456865958,-600.0,1500,600.0
6,llm_only,150.0,0.67496138320901,41900.0,424,500.0
7,llm_only,150.0,0.6607684111219879,37700.0,378,100.0
8,llm_only,150.0,0.6474362043450524,38800.0,390,200.0
9,llm_only,150.0,0.6346314915579351,37250.0,375,250.0
10,llm_only,150.0,0.6212865695086128,38800.0,389,100.0
11,llm_only,50.0,0.6392540102599235,-100.0,1499,100.0
12,llm_only,100.0,0.6252782032543858,30140.0,603,10.0
13,llm_only,100.0,0.6241512207170073,31780.0,636,20.0
14,llm_only,150.0,0.6107426969593758,37250.0,373,50.0
15,llm_only,150.0,0.5977627809113667,34225.0,343,75.0
16,llm_only,50.0,0.6150499200134696,-100.0,1405,100.0
17,llm_only,100.0,0.6023841525432646,27950.0,562,150.0
18,llm_only,150.0,0.5899792121382933,36550.0,367,150.0
19,llm_only,150.0,0.5890865298365321,33650.0,337,50.0
20,llm_only,150.0,0.5884686932887878,33300.0,334,100.0
21,llm_only,150.0,0.5881125662676683,32250.0,324,150.0
22,llm_only,150.0,0.5767067273024556,35100.0,354,300.0
23,llm_only,150.0,0.565522092865019,31500.0,318,300.0
24,llm_only,150.0,0.5660848121357541,30750.0,311,350.0
25,llm_only,150.0,0.5652282838332435,28250.0,283,50.0
26,llm_only,150.0,0.5533427605206358,28600.0,287,100.0
27,llm_only,150.0,0.5417071639517086,27100.0,272,100.0
28,llm_only,150.0,0.5413793358772208,26750.0,269,150.0
29,llm_only,150.0,0.5304560212496051,25900.0,261,200.0
30,llm_only,150.0,0.529653401949993,26450.0,265,50.0
31,llm_only,150.0,0.5290978991286118,23100.0,232,100.0
32,llm_only,150.0,0.5177313880731196,21750.0,218,50.0
33,llm_only,150.0,0.5171883891124155,21200.0,213,100.0
34,llm_only,150.0,0.5168753992074762,22650.0,228,150.0
35,llm_only,150.0,0.5167821389330323,23100.0,233,200.0
36,llm_only,150.0,0.5063551175759078,21000.0,212,200.0
37,llm_only,147.0,0.5064700463347928,20120.0,210,250.0
38,llm_only,150.0,0.4968345261062059,20050.0,204,350.0
39,llm_only,150.0,0.4976832209767086,21950.0,224,450.0
40,llm_only,150.0,0.4888873212776181,22050.0,226,550.0
41,llm_only,150.0,0.4881475985038644,20050.0,201,50.0
42,llm_only,150.0,0.48763562715199354,19200.0,193,100.0
43,llm_only,150.0,0.4875476426348613,20800.0,210,200.0
44,llm_only,150.0,0.4882097288824435,21800.0,222,400.0
45,llm_only,150.0,0.4794246930796869,22200.0,227,500.0
46,llm_only,150.0,0.4784658436935275,21200.0,212,0.0
47,llm_only,150.0,0.4794450440324323,23200.0,237,500.0
48,llm_only,150.0,0.4714046339215247,24500.0,252,700.0
49,llm_only,150.0,0.4730946033006527,24550.0,253,750.0
50,llm_only,50.0,0.48917134869596235,-800.0,1021,800.0
51,llm_only,50.0,0.4907834960081084,-700.0,1052,700.0
52,llm_only,150.0,0.4819521468383513,24100.0,246,500.0
