week,agent_type,strategy,price,brand_trust,profit,sales_volume,weekly_ad_spend
1,full_chimera,decrease,100.0,0.6986,27100.0,542,0.0
2,full_chimera,decrease,150.0,0.683258744,36500.0,365,0.0
3,full_chimera,decrease,120.0,0.70234899330736,35420.0,506,0.0
4,full_chimera,decrease,120.0,0.7009442953207453,31080.0,444,0.0
5,full_chimera,decrease,120.0,0.6995424067301038,32760.0,468,0.0
6,full_chimera,decrease,120.0,0.6981433219166436,35770.0,511,0.0
7,full_chimera,decrease,108.0,0.7176494463309947,34336.0,592,0.0
8,full_chimera,decrease,118.80000000000001,0.7162141474383327,37289.600000000006,542,0.0
9,full_chimera,decrease,118.80000000000001,0.714781719143456,36051.200000000004,524,0.0
10,full_chimera,decrease,118.80000000000001,0.7133521557051691,39560.0,575,0.0
11,full_chimera,decrease,118.80000000000001,0.7119254513937587,39491.20000000001,574,0.0
12,full_chimera,decrease,118.80000000000001,0.7105016004909712,38184.0,555,0.0
13,full_chimera,decrease,118.80000000000001,0.7090805972899893,40179.20000000001,584,0.0
14,full_chimera,decrease,118.80000000000001,0.7076624360954094,38803.20000000001,564,0.0
15,full_chimera,decrease,118.80000000000001,0.7062471112232185,36120.00000000001,525,0.0
16,full_chimera,decrease,118.80000000000001,0.7097201582761234,45371.20000000001,674,1000.0
17,full_chimera,decrease,118.80000000000001,0.7132102844159939,42206.40000000001,628,1000.0
18,full_chimera,decrease,118.80000000000001,0.7167175736310991,46059.20000000001,684,1000.0
19,full_chimera,decrease,118.80000000000001,0.7152841384838369,36670.40000000001,533,0.0
20,full_chimera,decrease,118.80000000000001,0.7139598530987101,35967.40000000001,523,15.0
21,full_chimera,decrease,118.80000000000001,0.7126432825810113,34453.05,501,15.75
22,full_chimera,decrease,118.80000000000001,0.7113291398719919,37067.450000000004,539,15.75
23,full_chimera,decrease,95.04000000000002,0.7312109844231929,29725.400000000016,660,1.0
24,full_chimera,decrease,95.04000000000002,0.7297485624543465,28645.44000000001,636,0.0
25,full_chimera,decrease,95.04000000000002,0.7282890653294378,28059.920000000013,623,0.0
26,full_chimera,decrease,94.08960000000002,0.7268324871987789,28305.52320000001,642,0.0
27,full_chimera,decrease,94.08960000000002,0.7253788222243813,27335.55200000001,620,0.0
28,full_chimera,decrease,94.08960000000002,0.7239280645799325,26674.208000000013,605,0.0
29,full_chimera,decrease,94.08960000000002,0.7224802084507727,26012.86400000001,590,0.0
30,full_chimera,decrease,94.08960000000002,0.7210352480338711,27467.82080000001,623,0.0
31,full_chimera,decrease,94.08960000000002,0.7195931775378034,23676.115200000007,537,0.0
32,full_chimera,decrease,94.08960000000002,0.7181539911827278,23014.77120000001,522,0.0
33,full_chimera,decrease,93.14870400000002,0.7167176832003623,21962.690336000014,509,0.0
34,full_chimera,decrease,92.21721696000002,0.7152842478339616,22923.94880928001,543,0.0
35,full_chimera,decrease,91.29504479040001,0.7138536793382937,22836.15976909121,553,0.0
36,full_chimera,decrease,90.38209434249602,0.7124259719796171,20998.68905809793,520,0.0
37,full_chimera,decrease,90.38209434249602,0.7110011200356579,19989.136699535527,495,0.0
38,full_chimera,decrease,90.38209434249602,0.7095791177955866,19867.990416508044,492,0.0
39,full_chimera,decrease,90.38209434249602,0.7081599595599954,21321.7458128379,528,0.0
40,full_chimera,decrease,90.38209434249602,0.709609238503393,23608.110322470122,597,500.0
41,full_chimera,decrease,90.38209434249602,0.7110614834566974,23567.728228127628,596,500.0
42,full_chimera,decrease,90.38209434249602,0.709639360489784,20312.193454275497,503,0.0
43,full_chimera,decrease,90.38209434249602,0.7082200817688045,21483.274190207878,532,0.0
44,full_chimera,decrease,90.38209434249602,0.7068036416052669,21644.802567577863,536,0.0
45,full_chimera,decrease,85.86298962537121,0.7053900343220564,20872.259961966047,582,0.0
46,full_chimera,decrease,85.86298962537121,0.7039792542534122,21948.14965072718,612,0.0
47,full_chimera,decrease,84.1457298328638,0.7025712957449054,21136.206766542688,619,0.0
48,full_chimera,decrease,84.1457298328638,0.7011661531534156,22092.287201862877,647,0.0
49,full_chimera,decrease,84.1457298328638,0.6997638208471088,21887.412822865692,641,0.0
50,full_chimera,decrease,83.30427253453516,0.6983642932054145,22347.166870673092,671,0.0
51,full_chimera,decrease,74.97384528108165,0.7178765915575738,20378.657749362625,816,0.0
52,full_chimera,decrease,74.97384528108165,0.7164408383744586,18730.38396081124,750,0.0
