week,agent_type,strategy,price,brand_trust,profit,sales_volume,weekly_ad_spend
1,llm_only,decrease,50.0,0.7231613686461972,-650.0,1484,650.0
2,llm_only,decrease,50.0,0.7475264935672078,-750.0,1744,750.0
3,llm_only,decrease,50.0,0.7737386125708412,-1000.0,1926,1000.0
4,llm_only,decrease,50.0,0.8019814693312446,-1300.0,1817,1300.0
5,llm_only,decrease,50.0,0.8003775063925821,0.0,1531,0.0
6,llm_only,decrease,50.0,0.828442853408283,-1000.0,2096,1000.0
7,llm_only,decrease,50.0,0.8609452141419269,-2000.0,2380,2000.0
8,llm_only,decrease,50.0,0.8972687288457036,-3000.0,2716,3000.0
9,llm_only,decrease,50.0,0.9362111007834837,-3500.0,2813,3500.0
10,llm_only,decrease,50.0,0.9796121737399704,-5000.0,3430,5000.0
11,llm_only,decrease,50.0,1.0,-5000.0,3505,5000.0
12,llm_only,decrease,50.0,1.0,-5000.0,3398,5000.0
13,llm_only,decrease,50.0,0.998,0.0,2325,0.0
14,llm_only,decrease,50.0,1.0,-500.0,2528,500.0
15,llm_only,decrease,50.0,1.0,-600.0,2396,600.0
16,llm_only,decrease,50.0,1.0,-800.0,2613,800.0
17,llm_only,decrease,50.0,1.0,-1200.0,2546,1200.0
18,llm_only,decrease,50.0,0.998,0.0,2229,0.0
19,llm_only,decrease,50.0,1.0,-300.0,2273,300.0
20,llm_only,decrease,50.0,1.0,-350.0,2248,350.0
21,llm_only,decrease,50.0,1.0,-300.0,2132,300.0
22,llm_only,decrease,50.0,1.0,-350.0,2323,350.0
23,llm_only,decrease,50.0,1.0,-350.0,2128,350.0
24,llm_only,decrease,50.0,1.0,-100.0,1938,100.0
25,llm_only,decrease,50.0,1.0,-150.0,1926,150.0
26,llm_only,decrease,50.0,0.998,0.0,1883,0.0
27,llm_only,decrease,50.0,1.0,-1000.0,2206,1000.0
28,llm_only,decrease,50.0,1.0,-2000.0,2374,2000.0
29,llm_only,decrease,50.0,1.0,-3000.0,2469,3000.0
30,llm_only,decrease,50.0,1.0,-4500.0,2789,4500.0
31,llm_only,decrease,50.0,0.998,0.0,1592,0.0
32,llm_only,decrease,50.0,0.996004,0.0,1547,0.0
33,llm_only,decrease,50.0,1.0,-5000.0,2305,5000.0
34,llm_only,decrease,50.0,1.0,-5000.0,2433,5000.0
35,llm_only,decrease,50.0,1.0,-5000.0,2456,5000.0
36,llm_only,decrease,50.0,1.0,-5000.0,2284,5000.0
37,llm_only,decrease,50.0,0.998,0.0,1415,0.0
38,llm_only,decrease,50.0,1.0,-5000.0,2171,5000.0
39,llm_only,decrease,50.0,1.0,-5000.0,2334,5000.0
40,llm_only,decrease,50.0,1.0,-5000.0,2348,5000.0
41,llm_only,decrease,50.0,1.0,-5000.0,2338,5000.0
42,llm_only,decrease,50.0,0.998,0.0,1441,0.0
43,llm_only,decrease,50.0,1.0,-5000.0,2352,5000.0
44,llm_only,decrease,50.0,1.0,-2000.0,2053,2000.0
45,llm_only,decrease,50.0,1.0,-3000.0,2236,3000.0
46,llm_only,decrease,50.0,1.0,-3000.0,2355,3000.0
47,llm_only,decrease,50.0,1.0,-1000.0,1989,1000.0
48,llm_only,decrease,50.0,1.0,-1200.0,2131,1200.0
49,llm_only,decrease,50.0,0.998,0.0,1709,0.0
50,llm_only,decrease,50.0,1.0,-50.0,1801,50.0
51,llm_only,decrease,50.0,1.0,-60.0,1882,60.0
52,llm_only,decrease,50.0,1.0,-80.0,1743,80.0
