week,agent_type,strategy,price,brand_trust,profit,sales_volume,weekly_ad_spend
1,llm_only,increase,150.0,0.6869315831441349,35700.0,361,400.0
2,llm_only,increase,150.0,0.6741071427441538,39200.0,396,400.0
3,llm_only,increase,150.0,0.6617534823502743,40050.0,405,450.0
4,llm_only,increase,150.0,0.6626521388950706,34900.0,353,400.0
5,llm_only,increase,150.0,0.6507281184985655,36800.0,373,500.0
6,llm_only,increase,150.0,0.639227350499077,39950.0,405,550.0
7,llm_only,increase,150.0,0.6379488957980788,35500.0,355,0.0
8,llm_only,increase,150.0,0.6351190338015563,50800.0,558,5000.0
9,llm_only,increase,150.0,0.6323017247210622,48800.0,538,5000.0
10,llm_only,increase,150.0,0.6283694065040403,52700.0,567,4000.0
11,llm_only,increase,150.0,0.6244615435841581,52400.0,564,4000.0
12,llm_only,increase,150.0,0.6149817531807612,42900.0,439,1000.0
13,llm_only,increase,150.0,0.6062191416177659,45500.0,467,1200.0
14,llm_only,increase,150.0,0.5980972809234972,44100.0,455,1400.0
15,llm_only,increase,150.0,0.5904158802102342,40860.0,424,1540.0
16,llm_only,increase,150.0,0.5831730367862892,43206.0,449,1694.0
17,llm_only,increase,150.0,0.5758164746282359,39200.0,408,1600.0
18,llm_only,increase,150.0,0.5796958527124432,42300.0,437,1400.0
19,llm_only,increase,150.0,0.5719293395201818,39300.0,407,1400.0
20,llm_only,increase,150.0,0.5640288130797871,37600.0,389,1300.0
21,llm_only,increase,150.0,0.5564722000781539,35700.0,371,1400.0
22,llm_only,increase,150.0,0.548290079925418,37100.0,382,1100.0
23,llm_only,increase,150.0,0.5404777294461056,33700.0,349,1200.0
24,llm_only,increase,150.0,0.5334524323025808,32700.0,342,1500.0
25,llm_only,increase,150.0,0.5269199870059333,32100.0,338,1700.0
26,llm_only,increase,150.0,0.5204675354237573,32400.0,341,1700.0
27,llm_only,increase,150.0,0.5144049179365385,31130.0,330,1870.0
28,llm_only,increase,150.0,0.5194175547766129,31256.0,335,2244.0
29,llm_only,increase,150.0,0.5150536751345086,31000.0,340,3000.0
30,llm_only,increase,150.0,0.5113197824797576,33100.0,366,3500.0
31,llm_only,increase,150.0,0.5078037523840732,28025.0,317,3675.0
32,llm_only,increase,150.0,0.5153439911379437,27790.0,322,4410.0
33,llm_only,increase,150.0,0.5125362689740305,26490.0,309,4410.0
34,llm_only,increase,150.0,0.5101366652629399,28149.0,330,4851.0
35,llm_only,increase,150.0,0.500957067636132,23500.0,240,500.0
36,llm_only,increase,150.0,0.5023049608669149,22100.0,227,600.0
37,llm_only,increase,150.0,0.493764208777216,20840.0,215,660.0
38,llm_only,increase,150.0,0.4854836627874902,20500.0,212,700.0
39,llm_only,increase,150.0,0.4773419835699385,21700.0,224,700.0
40,llm_only,increase,150.0,0.4673045182907227,19500.0,196,100.0
41,llm_only,increase,150.0,0.4575604713381471,19080.0,192,120.0
42,llm_only,increase,150.0,0.4475569723562875,17290.0,173,10.0
43,llm_only,increase,150.0,0.43777217668939605,17890.0,179,10.0
44,llm_only,increase,150.0,0.42816725431151714,17698.0,177,2.0
45,llm_only,increase,150.0,0.4187751574597443,17697.5,177,2.5
46,llm_only,increase,150.0,0.4095911239733092,18197.0,182,3.0
47,llm_only,increase,150.0,0.40061648280772877,17595.0,176,5.0
48,llm_only,increase,150.0,0.3918228610769298,17999.0,180,1.0
49,llm_only,increase,150.0,0.3832260877621366,17498.0,175,2.0
50,llm_only,increase,150.0,0.37481980144261046,17797.5,178,2.5
51,llm_only,increase,150.0,0.3665979118850545,18097.5,181,2.5
52,llm_only,increase,150.0,0.35856173502939587,16296.0,163,4.0
