week,agent_type,strategy,price,brand_trust,profit,sales_volume,weekly_ad_spend
1,llm_symbolic,increase,100.0,0.6986,27100.0,542,0.0
2,llm_symbolic,increase,100.0,0.7000297140867532,33600.0,682,500.0
3,llm_symbolic,increase,100.0,0.6987680016852722,31480.0,630,20.0
4,llm_symbolic,increase,150.0,0.6834230563682636,33100.0,331,0.0
5,llm_symbolic,increase,150.0,0.6821240771050521,34990.0,350,10.0
6,llm_symbolic,increase,150.0,0.6807666331475998,38099.0,381,1.0
7,llm_symbolic,increase,150.0,0.6794186744132905,37798.0,378,2.0
8,llm_symbolic,increase,150.0,0.6780747379958583,38797.8,388,2.2
9,llm_symbolic,increase,150.0,0.6767337975843198,37497.75,375,2.25
10,llm_symbolic,increase,150.0,0.6753806339034617,41099.955,411,0.045
11,llm_symbolic,increase,150.0,0.6740301820082661,41099.9541,411,0.0459
12,llm_symbolic,increase,150.0,0.6726824303982575,39699.9541,397,0.0459
13,llm_symbolic,increase,150.0,0.671337065537461,41800.0,418,0.0
14,llm_symbolic,increase,150.0,0.6746384386403292,48100.0,491,1000.0
15,llm_symbolic,increase,150.0,0.6733227423394809,37895.0,379,5.0
16,llm_symbolic,increase,150.0,0.6719760968548019,39900.0,399,0.0
17,llm_symbolic,increase,150.0,0.67079774125848,37175.0,372,25.0
18,llm_symbolic,increase,150.0,0.6694628369923699,39999.0,400,1.0
19,llm_symbolic,increase,150.0,0.6681242453719896,37599.95,376,0.05
20,llm_symbolic,increase,150.0,0.6667884636165078,36699.93,367,0.07
21,llm_symbolic,increase,150.0,0.6654552194084004,35199.95,352,0.05
22,llm_symbolic,increase,150.0,0.6641246410234368,37799.95,378,0.05
23,llm_symbolic,increase,150.0,0.6627963917413899,34600.0,346,0.0
24,llm_symbolic,increase,150.0,0.6660557651511113,39500.0,405,1000.0
25,llm_symbolic,increase,150.0,0.665357202930277,33700.0,338,100.0
26,llm_symbolic,increase,150.0,0.6641579832150868,33680.0,337,20.0
27,llm_symbolic,increase,150.0,0.6628429106030572,32398.0,324,2.0
28,llm_symbolic,increase,150.0,0.661520531541354,31599.5,316,0.5
29,llm_symbolic,increase,150.0,0.6601974904782714,30800.0,308,0.0
30,llm_symbolic,increase,150.0,0.6588968322198763,32497.0,325,3.0
31,llm_symbolic,increase,150.0,0.6576118355829523,28095.0,281,5.0
32,llm_symbolic,increase,150.0,0.6563489067392254,27292.0,273,8.0
33,llm_symbolic,increase,150.0,0.6550910021565655,26291.6,263,8.4
34,llm_symbolic,increase,150.0,0.6537835654552238,27599.58,276,0.42
35,llm_symbolic,increase,150.0,0.6524790642410715,27899.53,279,0.47
36,llm_symbolic,increase,150.0,0.6511773188641218,25799.5065,258,0.4935
37,llm_symbolic,increase,150.0,0.6498784911154376,24599.457150000002,246,0.54285
38,llm_symbolic,increase,150.0,0.648582436412249,24499.429007500003,245,0.5709925
39,llm_symbolic,increase,150.0,0.6472889664350001,26199.429007500003,262,0.5709925
40,llm_symbolic,increase,150.0,0.6459953105852333,26399.85725125,264,0.14274875
41,llm_symbolic,increase,150.0,0.6447043322211142,26199.842976375,262,0.157023625
42,llm_symbolic,increase,150.0,0.6434149299908181,24799.999,248,0.001
43,llm_symbolic,increase,150.0,0.6421281097627507,26199.9985,262,0.0015
44,llm_symbolic,increase,150.0,0.6408438559463892,26399.999625,264,0.000375
45,llm_symbolic,increase,150.0,0.6395621685942501,26999.99994375,270,5.625e-05
46,llm_symbolic,increase,150.0,0.6382830442570616,28400.0,284,0.0
47,llm_symbolic,increase,150.0,0.6373172746750159,28450.0,285,50.0
48,llm_symbolic,increase,150.0,0.63607436301637,29295.0,293,5.0
49,llm_symbolic,increase,150.0,0.6348025316835098,29099.95,291,0.05
50,llm_symbolic,increase,150.0,0.6335329899731186,29999.989999999998,300,0.01
51,llm_symbolic,increase,150.0,0.6322659967033355,31299.9885,313,0.0115
52,llm_symbolic,increase,150.0,0.63100153727468,28699.9885,287,0.0115
