week,season_phase,demand,profit
0,0,611,30050.0
1,1,625,30750.0
2,2,638,31400.0
3,3,652,32100.0
4,4,664,32700.0
5,5,675,33250.0
6,6,685,33750.0
7,7,694,34200.0
8,8,702,34600.0
9,9,708,34900.0
10,10,712,35100.0
11,11,715,35250.0
12,12,716,35300.0
13,13,715,35250.0
14,14,712,35100.0
15,15,708,34900.0
16,16,702,34600.0
17,17,694,34200.0
18,18,685,33750.0
19,19,675,33250.0
20,20,664,32700.0
21,21,652,32100.0
22,22,638,31400.0
23,23,625,30750.0
24,24,611,30050.0
25,25,596,29300.0
26,26,582,28600.0
27,27,568,27900.0
28,28,554,27200.0
29,29,541,26550.0
30,30,528,25900.0
31,31,517,25350.0
32,32,507,24850.0
33,33,498,24400.0
34,34,491,24050.0
35,35,485,23750.0
36,36,480,23500.0
37,37,478,23400.0
38,38,477,23350.0
39,39,478,23400.0
40,40,480,23500.0
41,41,485,23750.0
42,42,491,24050.0
43,43,498,24400.0
44,44,507,24850.0
45,45,517,25350.0
46,46,528,25900.0
47,47,541,26550.0
48,48,554,27200.0
49,49,568,27900.0
50,50,582,28600.0
51,51,596,29300.0
