week,strategy,proposed_price_change,proposed_ad_spend,guardian_would_repair,repaired_price_change,actual_price,actual_trust,actual_profit,profit_delta,is_catastrophic,sales_volume
1,decrease,-0.15,40.0,False,-0.15,85.0,0.7198402157791515,24005.0,-7345.0,True,687
2,decrease,-0.15,15.0,False,-0.15,72.25,0.7400627200760377,21211.5,-2793.5,False,954
3,decrease,-0.15,10.0,False,-0.15,61.4125,0.760815768629106,14004.550000000003,-7206.949999999997,True,1228
4,decrease,-0.25,10.0,True,-0.03257863291866714,50.0,0.7821507800517563,-10.0,-14014.550000000003,True,1422
5,decrease,-0.2,5.0,True,0.18823529411764706,50.0,0.804044172883286,-5.0,5.0,False,1540
6,decrease,-0.4,10.0,True,0.18823529411764706,50.0,0.8265914074703006,-10.0,-5.0,False,1736
7,decrease,-0.25,15.0,True,0.18823529411764706,50.0,0.84981287790627,-15.0,-5.0,False,1775
8,decrease,-0.2,10.0,True,0.18823529411764706,50.0,0.8736435714918077,-10.0,5.0,False,1873
9,decrease,-0.4,10.0,True,0.18823529411764706,50.0,0.8981425321412276,-10.0,0.0,False,1865
10,decrease,-0.5,15.0,True,0.18823529411764706,50.0,0.9233740916141631,-15.0,-5.0,False,2112
11,decrease,-0.3,10.0,True,0.18823529411764706,50.0,0.9492676096040238,-10.0,5.0,False,2170
12,decrease,-0.3,20.0,True,0.18823529411764706,50.0,0.9759833787022875,-20.0,-10.0,False,2169
13,decrease,-0.3,10.0,True,0.18823529411764706,50.0,1.0,-10.0,10.0,False,2336
14,decrease,-0.35,15.0,True,0.18823529411764706,50.0,1.0,-15.0,-5.0,False,2264
15,decrease,-0.2,25.0,True,0.18823529411764706,50.0,1.0,-25.0,-10.0,False,2116
16,decrease,-0.25,20.0,True,0.18823529411764706,50.0,1.0,-20.0,5.0,False,2235
17,decrease,-0.3,10.0,True,0.18823529411764706,50.0,1.0,-10.0,10.0,False,2065
18,decrease,-0.1,15.0,True,0.18823529411764706,50.0,1.0,-15.0,-5.0,False,2244
19,decrease,-0.25,20.0,True,0.18823529411764706,50.0,1.0,-20.0,-5.0,False,2120
20,decrease,-0.35,15.0,True,0.18823529411764706,50.0,1.0,-15.0,5.0,False,2071
21,decrease,-0.1,5.0,True,0.18823529411764706,50.0,1.0,-5.0,10.0,False,1980
22,decrease,-0.3,10.0,True,0.18823529411764706,50.0,1.0,-10.0,-5.0,False,2137
23,decrease,-0.2,20.0,True,0.18823529411764706,50.0,1.0,-20.0,-10.0,False,1964
24,decrease,-0.5,25.0,True,0.18823529411764706,50.0,1.0,-25.0,-5.0,False,1898
25,decrease,-0.2,10.0,True,0.18823529411764706,50.0,1.0,-10.0,15.0,False,1854
26,decrease,-0.2,20.0,True,0.18823529411764706,50.0,1.0,-20.0,-10.0,False,1898
27,decrease,-0.4,30.0,True,0.18823529411764706,50.0,1.0,-30.0,-10.0,False,1842
28,decrease,-0.35,15.0,True,0.18823529411764706,50.0,1.0,-15.0,15.0,False,1794
29,decrease,-0.25,5.0,True,0.18823529411764706,50.0,1.0,-5.0,10.0,False,1746
30,decrease,-0.3,10.0,True,0.18823529411764706,50.0,1.0,-10.0,-5.0,False,1851
31,decrease,-0.2,10.0,True,0.18823529411764706,50.0,1.0,-10.0,0.0,False,1600
32,decrease,-0.3,30.0,True,0.18823529411764706,50.0,1.0,-30.0,-20.0,False,1567
33,decrease,-0.4,45.0,True,0.18823529411764706,50.0,1.0,-45.0,-15.0,False,1518
34,decrease,-0.3,10.0,True,0.18823529411764706,50.0,1.0,-10.0,35.0,False,1587
35,decrease,-0.4,10.0,True,0.18823529411764706,50.0,1.0,-10.0,0.0,False,1602
36,decrease,-0.25,5.0,True,0.18823529411764706,50.0,1.0,-5.0,5.0,False,1487
37,decrease,-0.3,10.0,True,0.18823529411764706,50.0,1.0,-10.0,-5.0,False,1423
38,decrease,-0.35,20.0,True,0.18823529411764706,50.0,1.0,-20.0,-10.0,False,1420
39,decrease,-0.25,15.0,True,0.18823529411764706,50.0,1.0,-15.0,5.0,False,1524
40,decrease,-0.2,25.0,True,0.18823529411764706,50.0,1.0,-25.0,-10.0,False,1539
41,decrease,-0.25,10.0,True,0.18823529411764706,50.0,1.0,-10.0,15.0,False,1525
42,decrease,-0.2,5.0,True,0.18823529411764706,50.0,1.0,-5.0,5.0,False,1446
43,decrease,-0.2,10.0,True,0.18823529411764706,50.0,1.0,-10.0,-5.0,False,1534
44,decrease,-0.5,30.0,True,0.18823529411764706,50.0,1.0,-30.0,-20.0,False,1558
45,decrease,-0.4,15.0,True,0.18823529411764706,50.0,1.0,-15.0,15.0,False,1586
46,decrease,-0.35,20.0,True,0.18823529411764706,50.0,1.0,-20.0,-5.0,False,1673
47,decrease,-0.2,25.0,True,0.18823529411764706,50.0,1.0,-25.0,-5.0,False,1659
48,decrease,-0.2,15.0,True,0.18823529411764706,50.0,1.0,-15.0,10.0,False,1731
49,decrease,-0.2,15.0,True,0.18823529411764706,50.0,1.0,-15.0,0.0,False,1720
50,decrease,-0.2,20.0,True,0.18823529411764706,50.0,1.0,-20.0,-5.0,False,1785
51,decrease,-0.4,30.0,True,0.18823529411764706,50.0,1.0,-30.0,-10.0,False,1866
52,decrease,-0.4,20.0,True,0.18823529411764706,50.0,1.0,-20.0,10.0,False,1714
