week,proposed_price_change,proposed_ad_spend,guardian_would_repair,guardian_validation_msg,repaired_price_change,repaired_ad_spend,actual_price,actual_trust,actual_profit,profit_delta,is_catastrophic,sales_volume
1,0.15,-200.0,True,Rule Violation: Ad spend cannot be negative.,0.15,0.0,114.99999999999999,0.6846279999999999,29184.999999999993,-2165.0000000000073,False,449
2,0.1,15.0,False,Action is valid and compliant with all rules.,0.1,15.0,126.5,0.6833604717467237,34410.0,5225.000000000007,False,450
3,-0.25,30.0,False,Action is valid and compliant with all rules.,-0.25,30.0,94.875,0.7026612001869497,30350.375,-4059.625,False,677
4,0.0,0.0,False,Action is valid and compliant with all rules.,0.0,0.0,94.875,0.7012558777865757,26431.375,-3919.0,False,589
5,-0.2,20.0,False,Action is valid and compliant with all rules.,-0.2,20.0,75.9,0.7209917140462384,21761.9,-4669.4749999999985,False,841
6,0.2,50.0,False,Action is valid and compliant with all rules.,0.2,50.0,91.08,0.7055027841107353,29938.399999999994,8176.499999999993,False,730
7,-0.1,100.0,False,Action is valid and compliant with all rules.,-0.1,100.0,81.972,0.7259057351731091,27300.004,-2638.3959999999934,False,857
8,-0.3,200.0,True,Rule Violation: Profit margin < 15% or price below safe threshold ($59.41 with buffer).,-0.2752187978104431,200.0,57.380399999999995,0.7475480021559541,10346.591599999985,-16953.412400000016,True,1429
9,-0.2,400.0,True,Rule Violation: Profit margin < 15% or price below safe threshold ($59.41 with buffer).,0.03540171741365272,400.0,50.0,0.7710200620628886,-400.0,-10746.591599999985,True,1758
10,-0.4,15.0,True,Rule Violation: Profit margin < 15% or price below safe threshold ($59.41 with buffer).,0.18823529411764706,15.0,50.0,0.7926803641358641,-15.0,385.0,False,1813
11,-0.5,50.0,True,Rule Violation: Weekly discount cannot exceed 40%.,0.18823529411764706,50.0,50.0,0.8152254093572457,-50.0,-35.0,False,1886
12,-0.15,80.0,True,Rule Violation: Profit margin < 15% or price below safe threshold ($59.41 with buffer).,0.18823529411764706,80.0,50.0,0.8386477429799312,-80.0,-30.0,False,1896
13,-0.4,50.0,True,Rule Violation: Profit margin < 15% or price below safe threshold ($59.41 with buffer).,0.18823529411764706,50.0,50.0,0.862500170951834,-50.0,30.0,False,2038
14,-0.4,5.0,True,Rule Violation: Profit margin < 15% or price below safe threshold ($59.41 with buffer).,0.18823529411764706,5.0,50.0,0.8866426451927476,-5.0,45.0,False,2001
15,-0.2,15.0,True,Rule Violation: Profit margin < 15% or price below safe threshold ($59.41 with buffer).,0.18823529411764706,15.0,50.0,0.9115511378126069,-15.0,-10.0,False,1923
16,-0.2,20.0,True,Rule Violation: Profit margin < 15% or price below safe threshold ($59.41 with buffer).,0.18823529411764706,20.0,50.0,0.937205431156946,-20.0,-5.0,False,2094
17,-0.5,30.0,True,Rule Violation: Weekly discount cannot exceed 40%.,0.18823529411764706,30.0,50.0,0.9636757177294615,-30.0,-10.0,False,2002
18,-0.1,50.0,True,Rule Violation: Profit margin < 15% or price below safe threshold ($59.41 with buffer).,0.18823529411764706,50.0,50.0,0.9910841330478387,-50.0,-20.0,False,2246
19,0.1,30.0,True,Rule Violation: Profit margin < 15% or price below safe threshold ($59.41 with buffer).,0.18823529411764706,30.0,55.00000000000001,0.98939433147548,9350.000000000015,9400.000000000015,False,1876
20,-0.2,20.0,True,Rule Violation: Profit margin < 15% or price below safe threshold ($59.41 with buffer).,0.08021390374331538,20.0,50.0,1.0,-20.0,-9370.000000000015,True,2074
