week,agent_type,strategy,price,brand_trust,profit,sales_volume,weekly_ad_spend
1,llm_only,decrease,150.0,0.6874039276603388,36300.0,368,500.0
2,llm_only,decrease,150.0,0.6754684119344685,40600.0,412,600.0
3,llm_only,decrease,50.0,0.6950027770188666,-100.0,1473,100.0
4,llm_only,decrease,50.0,0.715166724635203,-110.0,1337,110.0
5,llm_only,decrease,50.0,0.7352216326278234,-10.0,1411,10.0
6,llm_only,decrease,50.0,0.7558014190729567,-5.0,1585,5.0
7,llm_only,decrease,50.0,0.7769262760249577,-1.0,1616,1.0
8,llm_only,decrease,50.0,0.7986455667053842,-1.5,1708,1.5
9,llm_only,decrease,50.0,0.8209679293343068,-1.0,1700,1.0
10,llm_only,decrease,50.0,0.8439226345397279,-2.0,1923,2.0
11,llm_only,decrease,50.0,0.8675105036324777,-1.0,1978,1.0
12,llm_only,decrease,50.0,0.8657754826252128,0.0,1913,0.0
13,llm_only,decrease,50.0,0.8640439316599623,0.0,2013,0.0
14,llm_only,decrease,50.0,0.8943417506081037,-1000.0,2435,1000.0
15,llm_only,decrease,50.0,0.923057220116316,-500.0,2174,500.0
16,llm_only,decrease,50.0,0.9497517870463991,-100.0,2170,100.0
17,llm_only,decrease,50.0,0.9478522834723062,0.0,1952,0.0
18,llm_only,decrease,50.0,0.9878424312658904,-3000.0,3125,3000.0
19,llm_only,decrease,50.0,1.0,-1000.0,2546,1000.0
20,llm_only,decrease,50.0,1.0,-1000.0,2491,1000.0
21,llm_only,decrease,50.0,1.0,-500.0,2217,500.0
22,llm_only,decrease,50.0,1.0,-200.0,2248,200.0
23,llm_only,decrease,50.0,1.0,-50.0,1981,50.0
24,llm_only,decrease,50.0,1.0,-25.0,1898,25.0
25,llm_only,decrease,50.0,1.0,-30.0,1865,30.0
26,llm_only,decrease,50.0,1.0,-10.0,1892,10.0
27,llm_only,decrease,50.0,1.0,-5.0,1829,5.0
28,llm_only,decrease,50.0,1.0,-1.0,1786,1.0
29,llm_only,decrease,50.0,1.0,-5.0,1746,5.0
30,llm_only,decrease,50.0,1.0,-3.0,1847,3.0
31,llm_only,decrease,50.0,1.0,-2.0,1596,2.0
32,llm_only,decrease,50.0,1.0,-2.0,1554,2.0
33,llm_only,decrease,50.0,1.0,-2.5,1500,2.5
34,llm_only,decrease,50.0,1.0,-2.5,1583,2.5
35,llm_only,decrease,50.0,1.0,-1.0,1598,1.0
36,llm_only,decrease,50.0,1.0,-0.5,1485,0.5
37,llm_only,decrease,50.0,0.998,0.0,1415,0.0
38,llm_only,decrease,50.0,1.0,-200.0,1489,200.0
39,llm_only,decrease,50.0,1.0,-100.0,1561,100.0
40,llm_only,decrease,50.0,1.0,-50.0,1550,50.0
41,llm_only,decrease,50.0,1.0,-20.0,1530,20.0
42,llm_only,decrease,50.0,0.998,0.0,1441,0.0
43,llm_only,decrease,50.0,1.0,-5000.0,2352,5000.0
44,llm_only,decrease,150.0,0.995564124312838,58200.0,632,5000.0
45,llm_only,decrease,50.0,1.0,-5000.0,2429,5000.0
46,llm_only,decrease,50.0,1.0,-2000.0,2211,2000.0
47,llm_only,decrease,50.0,1.0,-2500.0,2266,2500.0
48,llm_only,decrease,50.0,1.0,-2500.0,2371,2500.0
49,llm_only,decrease,50.0,1.0,-3000.0,2425,3000.0
50,llm_only,decrease,50.0,1.0,-3500.0,2576,3500.0
51,llm_only,decrease,50.0,1.0,-4000.0,2743,4000.0
52,llm_only,decrease,50.0,1.0,-4500.0,2575,4500.0
