week,multiplier_type,trust_multiplier,price,brand_trust,profit,sales_volume,weekly_ad_spend
1,aggressive,50000,150.0,0.6846279999999999,32600.0,326,0.0
2,aggressive,50000,150.0,0.6879947327199651,43400.0,444,1000.0
3,aggressive,50000,150.0,0.6894027426841531,42100.0,426,500.0
4,aggressive,50000,150.0,0.6920680501529738,38600.0,394,800.0
5,aggressive,50000,150.0,0.6943488780261732,40500.0,412,700.0
6,aggressive,50000,150.0,0.6947782601501391,41700.0,420,300.0
7,aggressive,50000,150.0,0.6966476557016791,43600.0,442,600.0
8,aggressive,50000,150.0,0.7007361445680265,48300.0,495,1200.0
9,aggressive,50000,150.0,0.7034452682255826,45000.0,458,800.0
10,aggressive,50000,150.0,0.7057635916544485,49100.0,498,700.0
11,aggressive,50000,150.0,0.7072079663308096,47800.0,483,500.0
12,aggressive,50000,150.0,0.7113584315952386,50800.0,520,1200.0
13,aggressive,50000,150.0,0.7117983323481968,47500.0,478,300.0
14,aggressive,50000,150.0,0.7141441847194452,49200.0,499,700.0
15,aggressive,50000,150.0,0.7192464460528553,50000.0,515,1500.0
16,aggressive,50000,150.0,0.7218249197936932,49350.0,501,750.0
17,aggressive,50000,150.0,0.7260611690997447,48200.0,494,1200.0
18,aggressive,50000,150.0,0.7312485722993429,54200.0,557,1500.0
19,aggressive,50000,150.0,0.7317007730230102,44200.0,445,300.0
20,aggressive,50000,150.0,0.7345296093686374,46800.0,476,800.0
21,aggressive,50000,150.0,0.7397775160299495,48300.0,498,1500.0
22,aggressive,50000,150.0,0.7464089931243985,54600.0,566,2000.0
23,aggressive,50000,150.0,0.7479365503129888,43300.0,438,500.0
24,aggressive,50000,150.0,0.7504015023230712,43100.0,438,700.0
25,aggressive,50000,150.0,0.7557628070172207,46100.0,476,1500.0
26,aggressive,50000,150.0,0.7625375786681182,49100.0,511,2000.0
27,aggressive,50000,150.0,0.7693730803926522,47900.0,499,2000.0
28,aggressive,50000,150.0,0.7723475620570217,42600.0,434,800.0
29,aggressive,50000,150.0,0.7744256683818226,40600.0,412,600.0
30,aggressive,50000,150.0,0.7774196839117696,44300.0,451,800.0
31,aggressive,50000,142.5,0.7784754143395408,35582.5,389,400.0
32,aggressive,50000,142.5,0.781485086636541,36755.0,406,800.0
33,aggressive,50000,142.5,0.7840606035495039,35097.5,387,700.0
34,aggressive,50000,142.5,0.7861702254079893,36770.0,404,600.0
35,aggressive,50000,142.5,0.7892096466980556,38235.0,422,800.0
36,aggressive,50000,142.5,0.7918106212114562,35190.0,388,700.0
37,aggressive,50000,142.5,0.7934310947287577,32707.5,359,500.0
38,aggressive,50000,142.5,0.797332878511573,34797.5,387,1000.0
39,aggressive,50000,142.5,0.798964653559153,35297.5,387,500.0
40,aggressive,50000,142.5,0.8046729216454047,39662.5,445,1500.0
41,aggressive,50000,142.5,0.8077838764113647,37217.5,411,800.0
42,aggressive,50000,142.5,0.8125246020250845,36910.0,412,1200.0
43,aggressive,50000,142.5,0.8156659122582672,37772.5,417,800.0
44,aggressive,50000,142.5,0.8183540778909475,37780.0,416,700.0
45,aggressive,50000,142.5,0.8167173697351656,33947.5,367,0.0
46,aggressive,50000,142.5,0.8194090006246516,40832.5,449,700.0
47,aggressive,50000,142.5,0.8225769267064083,41102.5,453,800.0
48,aggressive,50000,142.5,0.8230856044606211,39937.5,435,300.0
49,aggressive,50000,142.5,0.8262677447006008,42952.5,473,800.0
50,aggressive,50000,142.5,0.8311169485229086,46807.5,519,1200.0
51,aggressive,50000,142.5,0.8322455994559245,44185.0,482,400.0
52,aggressive,50000,142.5,0.8354631532525435,43230.0,476,800.0
