week,multiplier_type,trust_multiplier,price,brand_trust,profit,sales_volume,weekly_ad_spend
1,moderate_low,100000,120.0,0.6846279999999999,29890.0,427,0.0
2,moderate_low,100000,132.0,0.6832587439999999,34850.0,425,0.0
3,moderate_low,100000,132.0,0.6866187432545252,42706.0,533,1000.0
4,moderate_low,100000,132.0,0.6880239371987849,35252.0,436,500.0
5,moderate_low,100000,132.0,0.6923670422370114,41012.0,516,1300.0
6,moderate_low,100000,132.0,0.6937840003152964,41156.0,508,500.0
7,moderate_low,100000,132.0,0.6960704833938739,42186.0,523,700.0
8,moderate_low,100000,132.0,0.6987615690878356,44136.0,548,800.0
9,moderate_low,100000,132.0,0.7028624640984842,44802.0,561,1200.0
10,moderate_low,100000,132.0,0.704300901496096,45502.0,561,500.0
11,moderate_low,100000,132.0,0.7066220448098159,47024.0,582,700.0
12,moderate_low,100000,132.0,0.7116705636015563,49750.0,625,1500.0
13,moderate_low,100000,132.0,0.7140159948891864,48582.0,601,700.0
14,moderate_low,100000,132.0,0.7154772584535439,45748.0,564,500.0
15,moderate_low,100000,132.0,0.7205890440408982,47782.0,601,1500.0
16,moderate_low,100000,132.0,0.7229638676964726,46860.0,580,700.0
17,moderate_low,100000,132.0,0.7257589261970473,44136.0,548,800.0
18,moderate_low,100000,132.0,0.7272442221609333,46076.0,568,500.0
19,moderate_low,100000,132.0,0.7287325578450635,43534.0,537,500.0
20,moderate_low,100000,132.0,0.7339390469992818,47782.0,601,1500.0
21,moderate_low,100000,132.0,0.7363578678583799,42432.0,526,700.0
22,moderate_low,100000,125.39999999999999,0.7378648549991881,43609.0,585,500.0
23,moderate_low,100000,125.39999999999999,0.7402966140257237,41222.399999999994,556,700.0
24,moderate_low,100000,125.39999999999999,0.7418116619751199,38707.99999999999,520,500.0
25,moderate_low,100000,125.39999999999999,0.7454596015779751,40620.79999999999,552,1000.0
26,moderate_low,100000,144.20999999999998,0.7290893087273228,36270.84999999999,385,0.0
27,moderate_low,100000,144.20999999999998,0.7326746847731012,41677.12999999999,453,1000.0
28,moderate_low,100000,144.20999999999998,0.7392424910181868,44351.31999999999,492,2000.0
29,moderate_low,100000,144.20999999999998,0.7445240692465632,42213.43999999999,464,1500.0
30,moderate_low,100000,144.20999999999998,0.7498433821410626,45039.73999999999,494,1500.0
31,moderate_low,100000,144.20999999999998,0.7513779679502607,35017.16999999999,377,500.0
32,moderate_low,100000,144.20999999999998,0.754282878513987,35565.05999999999,386,800.0
33,moderate_low,100000,144.20999999999998,0.7558265499379896,33038.759999999995,356,500.0
34,moderate_low,100000,144.20999999999998,0.7583175047827071,36041.899999999994,390,700.0
35,moderate_low,100000,144.20999999999998,0.7627679219341689,38556.61999999999,422,1200.0
36,moderate_low,100000,144.20999999999998,0.7643289583540268,33132.969999999994,357,500.0
37,moderate_low,100000,144.20999999999998,0.7697897688929342,35241.899999999994,390,1500.0
38,moderate_low,100000,144.20999999999998,0.7696508750604532,30041.409999999996,321,200.0
39,moderate_low,100000,144.20999999999998,0.7717217255815474,34728.74999999999,375,600.0
40,moderate_low,100000,144.20999999999998,0.7747052873687188,35941.899999999994,390,800.0
41,moderate_low,100000,144.20999999999998,0.780240232435985,38445.03999999999,424,1500.0
42,moderate_low,100000,144.20999999999998,0.785814722369405,36655.04999999999,405,1500.0
43,moderate_low,100000,136.99949999999998,0.7896790518120096,36844.782499999994,435,1000.0
44,moderate_low,100000,136.99949999999998,0.7953209781597641,39128.76649999999,467,1500.0
45,moderate_low,100000,136.99949999999998,0.7979420936045908,37144.782499999994,435,700.0
46,moderate_low,100000,136.99949999999998,0.8005718473808129,39319.76999999999,460,700.0
47,moderate_low,100000,136.99949999999998,0.8027258949899859,38549.774999999994,450,600.0
48,moderate_low,100000,136.99949999999998,0.8038159910732707,39184.77249999999,455,400.0
49,moderate_low,100000,136.99949999999998,0.8043130671519503,38240.77849999999,443,300.0
50,moderate_low,100000,136.99949999999998,0.8082683642187897,43978.74149999999,517,1000.0
51,moderate_low,100000,136.99949999999998,0.8130119331967127,46997.72299999998,554,1200.0
52,moderate_low,100000,136.99949999999998,0.8151994525513604,40463.763999999996,472,600.0
