day,type,amount
0,HOLD,0.0
1,SHORT,0.5
2,SHORT,0.5
3,SHORT,0.3
4,SHORT,0.5
5,SHORT,0.5
6,HOLD,0.0
7,SHORT,0.5
8,BUY,0.7
9,BUY,0.2
10,BUY,0.4
11,BUY,0.4
12,BUY,0.7
13,BUY,0.4
14,BUY,0.09176671504974365
15,SHORT,0.0243
16,HOLD,0.0
17,HOLD,0.0
18,HOLD,0.0
19,BUY,0.2
20,HOLD,0.0
21,BUY,0.19829410314559937
22,HOLD,0.0
23,BUY,0.02604508399963379
24,SELL,0.2
25,BUY,0.7
26,BUY,0.3099477291107178
27,SELL,0.2
28,BUY,0.7
29,BUY,0.25
30,HOLD,0.0
31,HOLD,0.0
32,SELL,0.3
33,BUY,0.4
34,BUY,0.7
35,SHORT,0.028961696649957798
36,SHORT,0.042865095722106165
37,SHORT,0.06476906987444203
38,BUY,0.4
39,BUY,0.4
40,BUY,0.3005363345146179
41,HOLD,0.0
42,SELL,0.2
43,SELL,0.2
44,SELL,0.2
45,SHORT,0.2592465814328988
46,SHORT,0.390946009468594
47,SHORT,0.5
48,SHORT,0.2
49,HOLD,0.0
50,HOLD,0.0
51,BUY,0.4
52,BUY,0.2
53,BUY,0.7
54,SHORT,0.1090510431068874
55,SHORT,0.16507045747704857
56,BUY,0.5
57,SELL,0.2
58,SHORT,0.2
59,SHORT,0.25
60,SELL,0.1
61,SHORT,0.3
62,HOLD,0.0
63,BUY,0.4
64,BUY,0.2
65,BUY,0.7
66,BUY,0.4
67,BUY,0.4929667115211487
68,BUY,0.012318909168243408
69,SELL,0.2
70,SELL,0.2
71,SHORT,0.1947
72,SELL,0.2
73,SHORT,0.3419096990045635
74,BUY,0.7
75,HOLD,0.0
76,BUY,0.7
77,SHORT,0.04620477636900225
78,HOLD,0.0
79,SHORT,0.06916311675784938
80,SHORT,0.1061
81,BUY,0.6
82,HOLD,0.0
83,HOLD,0.0
84,BUY,0.3
85,BUY,0.4
86,BUY,0.06946671009063721
87,SHORT,0.024740652994164482
88,HOLD,0.0
89,BUY,0.3212
90,HOLD,0.0
91,SELL,0.3
92,BUY,0.6
93,BUY,0.6344851851463318
94,SELL,0.3
95,BUY,0.7
96,BUY,0.4
97,BUY,0.1364
98,HOLD,0.0
99,HOLD,0.0
100,SELL,0.1
101,BUY,0.5
102,BUY,0.3
103,HOLD,0.0
104,SHORT,0.024481962260145596
105,SHORT,0.0367
106,SHORT,0.05521103692868883
107,BUY,0.4
108,BUY,0.5
109,BUY,0.06075626611709595
110,SELL,0.3
111,BUY,0.4
112,HOLD,0.0
113,SHORT,0.0981
114,SHORT,0.14812728267158284
115,HOLD,0.0
116,SELL,0.2
117,HOLD,0.0
118,BUY,0.7
119,BUY,0.4
120,BUY,0.4955
121,SELL,0.5
122,BUY,0.7
123,BUY,0.3
124,SELL,0.2
125,SHORT,0.14196942410991914
126,SHORT,0.213
127,SHORT,0.3184800621105586
128,BUY,0.8
129,BUY,0.7
130,SELL,0.3
131,SHORT,0.1675
132,BUY,0.5
133,BUY,0.5
134,BUY,0.3
135,SHORT,0.0426
136,SHORT,0.061752030611674294
137,SHORT,0.09302508745118698
138,SHORT,0.1426
139,SELL,0.2
140,BUY,0.4
141,BUY,0.7
142,BUY,0.4
143,BUY,0.1473
144,SELL,0.4
145,SELL,0.8
146,BUY,0.5
147,HOLD,0.0
148,SELL,0.8
149,SELL,0.8
150,SELL,0.5
151,BUY,0.1
152,BUY,0.5
153,HOLD,0.0
154,BUY,0.3
155,SELL,0.5
156,HOLD,0.0
157,HOLD,0.0
158,BUY,0.3
159,HOLD,0.0
160,SHORT,0.21897648783515217
161,BUY,0.2
162,SHORT,0.2636
163,BUY,0.8
164,BUY,0.4
165,BUY,0.463715136051178
166,SELL,0.5
167,BUY,0.7
168,SELL,0.5
169,BUY,0.7
170,BUY,0.4
171,BUY,0.3
172,BUY,0.3
173,BUY,0.022435307502746582
174,SELL,0.3
175,BUY,0.7
176,BUY,0.3
177,BUY,0.3037
178,BUY,0.0074
179,SELL,0.5
180,BUY,0.5
181,BUY,0.7
182,BUY,0.3610813617706299
183,SHORT,0.024332843833687546
184,SHORT,0.035946224185354536
185,SHORT,0.05386907661773308
186,BUY,0.5
187,BUY,0.42476749420166016
188,HOLD,0.0
189,BUY,0.0025942325592041016
190,BUY,0.020712852478027344
191,BUY,0.0042
192,HOLD,0.0
193,SHORT,0.0239
194,HOLD,0.0
195,SHORT,0.037650907168313645
196,SHORT,0.0559497951803452
197,SHORT,0.0851
198,SHORT,0.1286
199,HOLD,0.0
