week,market_data,cash,shares_held,portfolio_value,last_profit
0,"{'Close': 66191.0, 'High': 66402.1875, 'Low': 65871.7734375, 'Open': 66006.7421875, 'Volume': 14121265576.0, 'Rsi_14': 43.39262243533071, 'Sma_10': 68309.75078125001, 'Sma_50': 66065.551953125, 'Roc_5': -4.777977632549644, 'Bbl_20_2.0': 65614.05616241408, 'Bbm_20_2.0': 68506.83437499999, 'Bbu_20_2.0': 71399.6125875859, 'Bbb_20_2.0': 8.44522517783003, 'Bbp_20_2.0': 0.09972140883040188, 'Macd_12_26_9': 40.293884753540624, 'Macdh_12_26_9': -553.5969318454071, 'Macds_12_26_9': 593.8908165989477, 'Price_vs_sma10': -0.03101681322238957, 'Sma10_vs_sma50': 0.0339692738769112, 'Bb_position': 0.008080489748850951}",100000.0,0.0,100000.0,0.0
1,"{'Close': 66639.046875, 'High': 66894.84375, 'Low': 66018.25, 'Open': 66189.359375, 'Volume': 13281140541.0, 'Rsi_14': 45.42395251030072, 'Sma_10': 67897.93906250001, 'Sma_50': 66129.950078125, 'Roc_5': -1.029204617972965, 'Bbl_20_2.0': 65393.02385739111, 'Bbm_20_2.0': 68369.058984375, 'Bbu_20_2.0': 71345.09411135889, 'Bbb_20_2.0': 8.705795197982848, 'Bbp_20_2.0': 0.2093427940939141, 'Macd_12_26_9': -59.522900998344994, 'Macdh_12_26_9': -522.7309740778342, 'Macds_12_26_9': 463.20807307948917, 'Price_vs_sma10': -0.018540948442355508, 'Sma10_vs_sma50': 0.026735072116134007, 'Bb_position': 0.01746473297328664}",100000.0,0.0,100000.0,0.0
2,"{'Close': 66490.296875, 'High': 67188.3203125, 'Low': 65094.96484375, 'Open': 66636.515625, 'Volume': 30006354476.0, 'Rsi_14': 44.84854696253497, 'Sma_10': 67612.71015625, 'Sma_50': 66197.49140625, 'Roc_5': -2.5657387996069088, 'Bbl_20_2.0': 65186.1195726202, 'Bbm_20_2.0': 68278.762890625, 'Bbu_20_2.0': 71371.4062086298, 'Bbb_20_2.0': 9.05887332188158, 'Bbp_20_2.0': 0.21085155452410556, 'Macd_12_26_9': -148.91470862732967, 'Macdh_12_26_9': -489.6982253654551, 'Macds_12_26_9': 340.7835167381254, 'Price_vs_sma10': -0.01660062551340059, 'Sma10_vs_sma50': 0.021378736866551153, 'Bb_position': 0.018273106439397967}",149975.0,-0.7503108514410306,100086.60873915185,86.6087391518522
3,"{'Close': 65140.74609375, 'High': 66556.703125, 'Low': 64066.95703125, 'Open': 66490.9765625, 'Volume': 39481285950.0, 'Rsi_14': 39.909103329058965, 'Sma_10': 67196.207421875, 'Sma_50': 66223.48390625001, 'Roc_5': -2.4202209549435745, 'Bbl_20_2.0': 64769.91480667646, 'Bbm_20_2.0': 68156.8955078125, 'Bbu_20_2.0': 71543.87620894854, 'Bbb_20_2.0': 9.938776336277833, 'Bbp_20_2.0': 0.05474363744516719, 'Macd_12_26_9': -324.9104640075675, 'Macdh_12_26_9': -532.5551845965543, 'Macds_12_26_9': 207.64472058898684, 'Price_vs_sma10': -0.030588948498540894, 'Sma10_vs_sma50': 0.014688498071198456, 'Bb_position': 0.005183270836353654}",199968.3385217607,-1.5029515632678407,102064.95234772566,1978.3436085738067
4,"{'Close': 64960.296875, 'High': 65695.3515625, 'Low': 64693.30078125, 'Open': 65146.66015625, 'Volume': 21103423504.0, 'Rsi_14': 39.286059518991394, 'Sma_10': 66727.437890625, 'Sma_50': 66309.952734375, 'Roc_5': -1.5918489079723814, 'Bbl_20_2.0': 64313.554416916966, 'Bbm_20_2.0': 67986.66074218751, 'Bbu_20_2.0': 71659.76706745804, 'Bbb_20_2.0': 10.805373539963494, 'Bbp_20_2.0': 0.0880375356457179, 'Macd_12_26_9': -473.4910024649289, 'Macdh_12_26_9': -544.9085784431326, 'Macds_12_26_9': 71.41757597820369, 'Price_vs_sma10': -0.026482974193038567, 'Sma10_vs_sma50': 0.006295965221425771, 'Bb_position': 0.009025182254279625}",230523.56279013923,-1.97300276072036,102356.71771855006,291.76537082440336
5,"{'Close': 64828.65625, 'High': 66438.9609375, 'Low': 64547.84765625, 'Open': 64960.296875, 'Volume': 25641109124.0, 'Rsi_14': 38.81005563809649, 'Sma_10': 66259.075390625, 'Sma_50': 66441.44562500001, 'Roc_5': -2.058200888338294, 'Bbl_20_2.0': 63920.96423607777, 'Bbm_20_2.0': 67853.5228515625, 'Bbu_20_2.0': 71786.08146704723, 'Bbb_20_2.0': 11.591317444453578, 'Bbp_20_2.0': 0.1154073089143701, 'Macd_12_26_9': -595.0055938208097, 'Macdh_12_26_9': -533.1385358392107, 'Macds_12_26_9': -61.867057981599004, 'Price_vs_sma10': -0.0215882749976827, 'Sma10_vs_sma50': -0.0027448264055588817, 'Bb_position': 0.012644401189928378}",281612.2490474488,-2.7608433544564863,102630.48426129235,273.76654274229077
6,"{'Close': 64096.19921875, 'High': 65007.546875, 'Low': 63378.89453125, 'Open': 64837.98828125, 'Volume': 26188171739.0, 'Rsi_14': 36.183088963104815, 'Sma_10': 65935.4921875, 'Sma_50': 66540.90093750002, 'Roc_5': -3.8158523800915334, 'Bbl_20_2.0': 63395.678518975714, 'Bbm_20_2.0': 67672.98593750002, 'Bbu_20_2.0': 71950.29335602434, 'Bbb_20_2.0': 12.641107405766483, 'Bbp_20_2.0': 0.08188804675815989, 'Macd_12_26_9': -741.8582636857318, 'Macdh_12_26_9': -543.9929645633063, 'Macds_12_26_9': -197.86529912242557, 'Price_vs_sma10': -0.02789533994103849, 'Sma10_vs_sma50': -0.009098295055678014, 'Bb_position': 0.009736175727706497}",332812.3426746366,-3.5523951943212246,105117.31259569325,2486.828334400896
7,"{'Close': 64252.578125, 'High': 64475.46875, 'Low': 63929.7578125, 'Open': 64113.86328125, 'Volume': 9858198793.0, 'Rsi_14': 37.16104638058151, 'Sma_10': 65536.63125, 'Sma_50': 66568.15578125, 'Roc_5': -3.365481664500389, 'Bbl_20_2.0': 62956.210300056315, 'Bbm_20_2.0': 67498.03476562502, 'Bbu_20_2.0': 72039.85923119374, 'Bbb_20_2.0': 13.45764948961668, 'Bbp_20_2.0': 0.14271443499978576, 'Macd_12_26_9': -835.984878452422, 'Macdh_12_26_9': -510.4956634639971, 'Macds_12_26_9': -325.48921498842486, 'Price_vs_sma10': -0.019592907058371356, 'Sma10_vs_sma50': -0.01549576549243288, 'Bb_position': 0.0179951465588421}",332698.4951595971,-3.5523951943212246,104447.94540559803,-669.3671900952177
8,"{'Close': 63180.796875, 'High': 64491.703125, 'Low': 63180.796875, 'Open': 64248.96484375, 'Volume': 11170471802.0, 'Rsi_14': 33.38491490564246, 'Sma_10': 65179.07109375, 'Sma_50': 66553.94226562501, 'Roc_5': -3.008791480418812, 'Bbl_20_2.0': 62332.20224967618, 'Bbm_20_2.0': 67216.83554687502, 'Bbu_20_2.0': 72101.46884407387, 'Bbb_20_2.0': 14.53395792127836, 'Bbp_20_2.0': 0.08686369822382153, 'Macd_12_26_9': -985.7021278741668, 'Macdh_12_26_9': -528.1703303085935, 'Macds_12_26_9': -457.53179756557324, 'Price_vs_sma10': -0.030658218738278568, 'Sma10_vs_sma50': -0.02065799748402179, 'Bb_position': 0.011769449900653015}",384782.2306011677,-4.365187057726302,108986.23378558335,4538.288379985315
9,"{'Close': 60277.4140625, 'High': 63292.52734375, 'Low': 58601.69921875, 'Open': 63173.3515625, 'Volume': 43152133651.0, 'Rsi_14': 25.751152034516924, 'Sma_10': 64605.703125, 'Sma_50': 66478.86789062501, 'Roc_5': -7.208838379404343, 'Bbl_20_2.0': 61177.911394020906, 'Bbm_20_2.0': 66702.31796875001, 'Bbu_20_2.0': 72226.72454347911, 'Bbb_20_2.0': 16.564361608294583, 'Bbp_20_2.0': -0.08150172505768763, 'Macd_12_26_9': -1323.3777798100054, 'Macdh_12_26_9': -692.6767857955457, 'Macds_12_26_9': -630.7009940144598, 'Price_vs_sma10': -0.06699546407111408, 'Sma10_vs_sma50': -0.028176845139824814, 'Bb_position': -0.012467647359237841}",115431.44496265294,-0.10206321720703926,109279.33815851336,293.1043729300145
